18.97,42.06,109.54,39.33,86.98,51.27,174.03,58.01,91.96,20.20,10.85,10.47,58.32,15.63,12.09,113.83,21.96,15.41,152.55,30.06,21.03,9.75,18.10,45.60,41.43,21.21,46.47,93.45,24.81,36.86,152.59,32.62,37.49,13.79,37.68,110.29,27.49,43.49,111.76,67.47,49.05,107.58,118.36,47.16,89.37,176.68,56.21,87.49,134.28,115.31,115.14,117.55,116.76,131.86,117.00,101.48,111.93,20.41,45.34,118.28
40.18,87.41,51.60,40.72,88.59,52.61,179.83,70.97,110.82,20.06,18.21,13.47,59.83,24.55,16.29,120.86,29.80,18.12,160.04,35.04,22.50,13.25,25.53,51.41,40.48,29.37,51.28,89.64,34.64,45.34,156.08,41.30,44.26,16.34,47.23,127.40,27.50,51.07,125.03,69.47,56.72,118.62,125.40,54.13,99.67,180.58,63.49,94.60,156.64,136.67,138.15,138.52,138.96,156.55,138.35,121.89,133.88,20.30,44.96,117.38
20.80,44.44,114.52,21.52,45.52,118.22,126.26,59.25,106.45,23.25,30.61,18.52,58.34,36.29,20.14,126.04,44.74,23.44,173.50,47.61,27.75,14.77,37.59,60.43,39.22,41.18,56.96,92.64,48.24,55.63,161.23,56.37,55.31,18.73,59.26,143.98,29.47,62.41,138.83,71.68,70.69,135.78,137.85,70.21,118.29,187.92,77.13,106.16,180.44,159.77,161.21,160.78,162.52,180.51,161.20,144.17,158.49,39.56,88.36,51.89
41.26,89.75,53.23,22.66,46.98,120.27,177.09,170.16,67.86,27.81,47.31,25.08,60.40,53.68,25.59,128.26,62.99,29.50,187.27,68.83,38.31,17.36,52.56,65.87,40.89,55.14,60.64,92.38,66.04,64.16,170.23,77.70,68.81,20.30,74.78,162.40,32.50,76.36,147.84,68.90,87.13,151.42,140.90,95.50,143.75,193.58,95.97,121.72,204.16,183.90,185.90,184.64,188.33,206.56,185.40,168.09,181.76,39.49,88.56,52.22
20.27,44.22,114.93,42.17,91.59,54.34,21.46,54.41,30.87,28.38,61.83,31.17,60.58,73.79,30.87,128.31,84.54,34.51,196.85,94.31,50.41,21.79,68.22,68.01,45.22,75.48,69.45,89.66,85.41,70.65,175.04,102.62,78.19,25.25,90.24,159.53,36.11,91.60,151.07,72.71,105.42,159.38,137.71,116.07,161.31,196.68,117.40,134.61,232.29,213.10,212.49,212.04,215.95,233.48,209.78,193.79,208.41,39.77,88.87,52.38
38.44,86.27,50.30,40.55,89.22,52.72,24.96,66.38,35.93,30.49,73.90,37.66,59.94,92.91,38.64,126.01,107.32,39.19,202.85,119.59,59.53,28.06,82.49,69.78,46.92,95.27,74.01,94.31,112.31,81.22,174.30,128.39,86.75,36.00,105.20,149.11,42.11,109.70,153.24,77.91,127.35,166.11,137.28,143.12,172.75,207.53,148.07,159.14,235.30,221.36,222.44,219.73,222.78,237.57,237.40,227.25,238.61,40.28,89.52,53.40
17.72,40.67,108.09,19.11,42.99,113.18,31.29,78.38,45.20,36.75,84.53,46.17,64.60,107.37,54.32,124.11,132.41,49.61,206.89,145.86,60.63,37.45,93.10,70.68,53.42,107.20,78.56,95.39,133.36,87.08,173.25,156.92,94.88,46.36,114.72,136.75,54.49,122.32,143.23,82.84,143.80,160.52,143.52,174.04,184.53,221.33,184.27,180.76,227.89,200.48,198.81,198.54,204.31,227.36,231.10,212.11,229.44,21.44,46.16,119.30
36.98,83.89,48.88,18.86,42.39,111.34,38.17,86.32,51.22,41.96,90.81,52.64,64.57,109.13,61.25,112.03,137.13,67.33,210.31,174.07,55.97,45.28,99.70,74.09,58.48,110.42,80.48,89.95,132.25,90.64,161.37,169.92,96.98,55.76,119.77,125.04,61.97,124.60,127.93,84.30,141.08,141.29,139.29,177.55,168.24,235.03,229.14,200.90,211.60,157.87,152.95,155.98,166.09,204.66,218.79,179.29,206.05,21.24,45.98,118.90
17.93,40.97,108.42,37.39,84.93,49.46,125.60,141.48,63.40,21.99,8.69,14.73,55.03,12.25,13.09,105.69,19.28,16.28,146.16,28.56,22.62,9.05,20.84,63.47,44.27,25.92,66.23,93.94,25.68,48.57,152.48,33.87,48.29,19.43,43.93,116.99,32.33,48.31,117.91,64.87,55.48,118.62,110.57,57.88,110.04,174.72,64.03,105.15,147.00,27.05,19.10,20.11,43.69,116.30,5.35,5.48,6.87,19.63,44.77,117.51
37.30,84.82,49.35,37.74,85.72,50.36,6.30,9.80,16.33,19.21,11.17,16.37,56.03,15.39,15.26,112.69,21.58,17.65,149.98,30.00,22.83,9.72,22.81,63.83,41.68,27.98,68.36,91.00,28.11,50.77,154.15,36.86,51.45,20.95,47.03,121.90,33.10,51.24,123.15,67.07,58.84,122.61,113.10,61.00,113.84,180.07,67.09,108.64,154.44,30.01,21.30,19.94,44.44,117.85,6.98,8.49,8.65,19.89,44.97,118.37
